"ID","SHIPNAME","SHIPTYPE","LONGITUDE","LATITUDE","SPEED","EQUIPMENTID"
1754503,"闽东渔61123","",118.24325,22.926305555555558,0.7,"945598"
1754504,"闽莆渔43966","",119.73136111111111,25.22236111111111,3.7,"945394"
1754505,"浙三渔09408","",121.63266666666667,28.85977777777778,0,"945793"
1754506,"闽霞渔09992","",121.21797222222223,27.221555555555554,3.6,"962870"
1754507,"闽东渔62285","",117.83555555555554,23.674333333333333,1.1,"963435"
1754508,"闽东渔64681","",117.00713888888889,22.509527777777777,4.1,"963739"
1754510,"闽东渔63127","",117.72352777777778,23.380472222222224,3.6,"945635"
1754512,"闽霞渔运08686","",120.29813888888889,27.28322222222222,0,"945455"
1754514,"闽东渔64645","",117.26241666666667,23.110111111111113,3,"963666"
1754515,"闽霞渔04188","",121.64019444444445,28.291583333333335,0.1,"962742"
1754516,"浙普渔30065","",122.81602777777778,30.711416666666665,0.4,"963932"
1754518,"闽莆渔50858","",119.64480555555556,25.114833333333333,4.1,"945469"
1754519,"闽东渔64660","",117.33330555555554,22.855611111111113,3.4,"963796"
1754520,"闽东渔64558","",117.36577777777777,23.577194444444444,0,"962458"
1754521,"闽霞渔08392","",122.42975,30.760250000000003,0.1,"962753"
1754522,"闽东渔69627","",117.42941666666667,23.59636111111111,0.1,"964223"
1754523,"闽莆渔运05889","",119.47777777777777,25.25322222222222,0.2,"962551"
1754524,"闽霞渔01178","",121.22452777777778,27.421166666666668,6.7,"945587"
1754526,"闽莆渔43999","",119.27972222222222,25.139388888888888,9.8,"945606"
1754527,"闽霞渔02355","",119.98113888888889,26.53777777777778,9.2,"962706"
1754529,"闽莆渔10599","",120.09288888888888,25.34825,4,"945601"
1754530,"闽东渔63271","",117.62447222222221,23.578000000000003,2.8,"945255"
1754903,"闽莆渔55555","",119.13152777777776,25.171472222222224,0,"963220"
1753768,"闽东渔64106","",117.43105555555556,23.597305555555554,0,"964230"
864987,"浙普渔03267","",122.29869444444445,29.883194444444445,0.1,"1008383"
1754937,"闽莆渔F2222","",119.124,25.092555555555553,0,"963274"
878835,"中昌228","",121.25880555555555,39.57772222222222,0.1,"945098"
592347,"浙岱渔11958","",124.87058333333333,31.72086111111111,3,"267354"
878851,"浙普渔08166","",122.30619444444444,29.946277777777777,0.1,"961971"
850453,"浙嵊渔06989","",122.81261111111111,30.718055555555555,0.6,"360659"
1755015,"闽东渔64546","",117.43469444444445,22.98966666666667,4.1,"962549"
1755052,"嵊渔养70104","",122.757736,30.716804,0,"850256553305074"
1755053,"嵊渔养70042","",122.758188,30.716226,0,"850256553305281"
1755055,"闽福鼎渔07096","",120.405333,27.18607,0,"850256553303770"
1755056,"嵊渔养70189","",122.763691,30.715012,0,"850256553305283"
1755058,"嵊渔养70197","",122.755637,30.716461,0,"850256553305008"
1755059,"嵊渔养70214","",122.757538,30.715643,0,"850256553305687"
1755062,"嵊渔养70213","",122.756864,30.717597,0,"850256553305688"
1755064,"嵊渔养70703","",122.76893,30.725663,0,"850256553305684"
1755065,"嵊渔养70178","",122.757195,30.716461,0,"850256553305686"
1755066,"嵊渔养70236","",122.764179,30.715591,0,"850256553305700"
1755067,"嵊渔养70301","",122.7571,30.717157,0,"850256553305288"
1755068,"嵊渔养70041","",122.763406,30.71749,0,"850256553305289"
1755070,"嵊渔养70203","",122.75694,30.716545,0,"850256553305685"
